PMID,Study_Type,n_applicable,n_rep_gaps,n_val_flags,error_weighted,transparency,validity,validity_weighted,domains_flagged,dom_gapped,ack_flagged,ack_named,acknowledgement,Saudi data used,Number of authors,% Saudi authors,Corresponding author,First author,Last author,Sector composition,Single vs multi-sector,JCR 2022 quartile,JCR Q1-2 vs Q3-4,Funding
STUDY-0402,Descriptive,9,0,3,3,1,0.666666666666667,0.666666666666667,3,0,2,1,0.5,No,3-10,<50%,Saudi,Non-Saudi,Saudi,Academic-only,Single-sector,None,None,Not stated
STUDY-0977,Causal,14,5,6,5.5,0.642857142857143,0.333333333333333,0.388888888888889,3,3,3,0,0,No,3-10,<50%,Non-Saudi,Saudi,Non-Saudi,Health-system,Single-sector,Q2,Q1-Q2,Declared none
STUDY-0429,Causal,19,2,6,4.25,0.894736842105263,0.647058823529412,0.75,3,1,3,0,0,Yes,3-10,>=50%,Saudi,Saudi,Saudi,Academic-only,Single-sector,Q2,Q1-Q2,Declared none
STUDY-0589,Causal,16,3,6,5.3333333,0.8125,0.538461538461538,0.589743592307692,4,2,4,0,0,No,3-10,<50%,Non-Saudi,Non-Saudi,Non-Saudi,Academic-only,Single-sector,Q4,Q3-Q4,Declared none
STUDY-0933,Causal,14,2,7,6.1666667,0.857142857142857,0.416666666666667,0.486111108333333,3,1,3,1,0.333333333333333,Yes,3-10,>=50%,Saudi,Saudi,Saudi,Academic-only,Single-sector,None,None,Funded
STUDY-0330,Causal,18,1,8,7.1666667,0.944444444444444,0.529411764705882,0.578431370588235,4,0,4,1,0.25,No,3-10,<50%,Non-Saudi,Non-Saudi,Non-Saudi,Academic-only,Single-sector,Q2,Q1-Q2,Funded
STUDY-0922,Causal,13,4,4,4,0.692307692307692,0.555555555555556,0.555555555555556,3,2,3,2,0.666666666666667,No,11+,<50%,Non-Saudi,Non-Saudi,Non-Saudi,Academic-only,Single-sector,Q1,Q1-Q2,Funded
STUDY-0600,Causal,18,1,8,7.5,0.944444444444444,0.529411764705882,0.558823529411765,4,0,4,1,0.25,Yes,1-2,>=50%,Saudi,Saudi,Saudi,Academic-only,Single-sector,Q1,Q1-Q2,Funded
STUDY-0119,Causal,15,3,6,5.1666667,0.8,0.5,0.569444441666667,3,2,3,1,0.333333333333333,No,11+,<50%,Non-Saudi,Non-Saudi,Non-Saudi,Academic-only,Single-sector,Q2,Q1-Q2,Funded
STUDY-0251,Causal,14,2,8,7,0.857142857142857,0.333333333333333,0.416666666666667,3,1,3,2,0.666666666666667,Yes,3-10,>=50%,Saudi,Saudi,Saudi,Academic-only,Single-sector,Q1,Q1-Q2,Funded
STUDY-0932,Causal,15,2,8,7.5,0.866666666666667,0.384615384615385,0.423076923076923,4,1,4,3,0.75,Yes,3-10,<50%,Saudi,Saudi,Non-Saudi,Academic-only,Single-sector,Q3,Q3-Q4,Funded
STUDY-0749,Descriptive,5,1,1,1,0.8,0.75,0.75,1,1,1,0,0,Yes,11+,>=50%,Saudi,Saudi,Saudi,Health-system,Multi-sector,None,None,Declared none
STUDY-0517,Causal,14,2,9,9,0.857142857142857,0.25,0.25,3,1,3,1,0.333333333333333,Yes,3-10,>=50%,Saudi,Saudi,Saudi,Academic-only,Single-sector,Q1,Q1-Q2,Not stated
STUDY-0210,Descriptive,7,2,4,3.5,0.714285714285714,0.2,0.3,3,2,2,1,0.5,Yes,3-10,>=50%,Saudi,Saudi,Saudi,Academic-only,Multi-sector,Q1,Q1-Q2,Funded
STUDY-0923,Causal,15,2,6,5.6666667,0.866666666666667,0.538461538461538,0.564102561538461,3,1,3,2,0.666666666666667,Yes,3-10,>=50%,Saudi,Saudi,Saudi,Health-system,Multi-sector,Q4,Q3-Q4,Funded
STUDY-0214,Causal,12,0,4,3.1666667,1,0.666666666666667,0.736111108333333,2,0,2,2,1,Yes,3-10,>=50%,Saudi,Saudi,Non-Saudi,Health-system,Multi-sector,Q2,Q1-Q2,Declared none
STUDY-0565,Causal,15,3,7,7,0.8,0.416666666666667,0.416666666666667,4,1,4,3,0.75,Yes,3-10,>=50%,Saudi,Saudi,Saudi,Health-system,Multi-sector,Q3,Q3-Q4,Funded
STUDY-0899,Causal,16,2,9,9,0.875,0.357142857142857,0.357142857142857,4,1,4,0,0,No,3-10,<50%,Non-Saudi,Non-Saudi,Non-Saudi,Academic-only,Single-sector,Q2,Q1-Q2,Funded
STUDY-0094,Causal,15,2,7,5.6666667,0.866666666666667,0.461538461538462,0.564102561538461,3,1,3,2,0.666666666666667,No,11+,<50%,Non-Saudi,Non-Saudi,Non-Saudi,Academic-only,Single-sector,Q1,Q1-Q2,Funded
STUDY-0809,Causal,17,4,11,10.6666667,0.764705882352941,0.153846153846154,0.179487176923077,4,2,4,0,0,No,11+,>=50%,Saudi,Saudi,Non-Saudi,Academic-only,Single-sector,None,None,Funded
STUDY-0793,Causal,20,2,9,8.1666667,0.9,0.5,0.546296294444444,5,1,5,0,0,No,3-10,>=50%,Saudi,Saudi,Non-Saudi,Academic-only,Single-sector,None,None,Funded
STUDY-0387,Descriptive,9,2,5,4.5,0.777777777777778,0.285714285714286,0.357142857142857,4,2,3,0,0,No,3-10,<50%,Saudi,Saudi,Non-Saudi,Academic-only,Single-sector,None,None,Declared none
STUDY-0700,Causal,15,0,4,4,1,0.733333333333333,0.733333333333333,2,0,2,1,0.5,No,3-10,<50%,Non-Saudi,Non-Saudi,Non-Saudi,Academic-only,Single-sector,Q3,Q3-Q4,Declared none
STUDY-0805,Causal,16,1,6,5.1666667,0.9375,0.6,0.655555553333333,3,0,3,2,0.666666666666667,No,1-2,>=50%,Saudi,Saudi,Saudi,Academic-only,Single-sector,Q1,Q1-Q2,Not stated
STUDY-0780,Causal,13,2,4,3.6666667,0.846153846153846,0.636363636363636,0.666666663636364,3,0,3,1,0.333333333333333,Yes,3-10,>=50%,Saudi,Saudi,Saudi,Health-system,Single-sector,Q1,Q1-Q2,Not stated
STUDY-0184,Causal,17,2,7,6,0.882352941176471,0.533333333333333,0.6,3,1,3,0,0,Yes,3-10,>=50%,Saudi,Saudi,Non-Saudi,Academic-only,Single-sector,Q3,Q3-Q4,Funded
