stratifier,task,measure,n_levels,spread,lo_level,lo_val,lo_n,hi_level,hi_val,hi_n,task_mean
JCR 2022 quartile,Descriptive,mean_dom_gap,5,0.451923076923077,Q2,0.923076923076923,13,None,1.375,16,1.14814814814815
JCR 2022 quartile,Descriptive,pct_ge3,5,35.2941176470588,Q1,35.2941176470588,17,Q4,70.5882352941177,17,56.7901234567901
JCR 2022 quartile,Descriptive,pct_val,5,5.5678793256433,Q1,42.3913043478261,17,Q4,47.9591836734694,17,46.0230639332653
JCR 2022 quartile,Descriptive,pct_worst,5,9.85663082437276,Q2,61.1111111111111,13,None,70.9677419354839,16,66.2351069864223
JCR 2022 quartile,Descriptive,mean_ack,5,0.177662037037037,None,0.276041666666667,16,Q3,0.453703703703704,18,0.346707818930041
JCR 2022 quartile,Causal,mean_err_w,5,1.09815920686567,Q2,5.29850747313433,67,None,6.39666668,50,5.91703057860262
JCR 2022 quartile,Causal,mean_val_err,5,0.984776119402985,Q2,5.95522388059702,67,None,6.94,50,6.49344978165939
JCR 2022 quartile,Causal,mean_rep_gap,5,0.538888888888889,Q3,2.11111111111111,45,Q4,2.65,20,2.28384279475983
JCR 2022 quartile,Causal,mean_validity,5,0.0811336262995613,None,0.444560752972518,50,Q2,0.525694379272079,67,0.485137176021456
JCR 2022 quartile,Causal,mean_transparency,5,0.0332050554889822,Q4,0.821282223753199,20,Q3,0.854487279242181,45,0.844998126585186
JCR 2022 quartile,Causal,mean_dom_flag,5,0.285074626865672,Q2,3.01492537313433,67,Q4,3.3,20,3.16593886462882
JCR 2022 quartile,Causal,mean_dom_gap,5,0.542553191489362,Q1,0.957446808510638,47,Q4,1.5,20,1.17467248908297
JCR 2022 quartile,Causal,pct_ge3,5,19.8507462686567,Q2,70.1492537313433,67,Q4,90,20,79.9126637554585
JCR 2022 quartile,Causal,pct_val,5,4.11593547840334,Q2,51.9280205655527,67,Q1,56.043956043956,47,54.3014441312254
JCR 2022 quartile,Causal,pct_worst,5,8.8284596759173,Q1,72.5274725274725,47,Q4,81.3559322033898,20,74.4403658306848
